bucket_topic_number,bucket_topic,book_topic_number,book_topic
0,"network, packet, time, link",19,Software-Defined Networking (SDN)
1,"fiber, cable, twisted, twisted pair",0,Introduction to Computer Networks
2,"dns, dns server, domain, query",7,DNS (Domain Name System)
3,"mail, mail server, user agent, email",2,Network Topologies and Architectures
4,"cipher, ciphertext, block, encryption",22,Wireless Security
5,"fig, shown fig, fig example, shown",0,Introduction to Computer Networks
6,"page, browser, web page, web",0,Introduction to Computer Networks
7,"ack, retransmit, duplicate, retransmission",0,Introduction to Computer Networks
8,"isps, isp, tier, access isps",10,Network Security and Threats
9,"band, ghz, frequency, spectrum",0,Introduction to Computer Networks
10,"alice, bob, trudy, message alice",0,Introduction to Computer Networks
11,"telephone, telephone network, telephone company, company",19,Software-Defined Networking (SDN)
12,"sdn, controller, plane, control plane",19,Software-Defined Networking (SDN)
13,"agent, foreign, home agent, mobile node",0,Introduction to Computer Networks
14,"copyright, privacy, law, court",12,VPN (Virtual Private Network)
15,"byte, length, header, field",0,Introduction to Computer Networks
16,"cache, caching, web cache, cached",0,Introduction to Computer Networks
17,"protocol, new protocol, protocol protocol, protocol work",12,VPN (Virtual Private Network)
18,"satellite, earth, communication satellite, orbit",0,Introduction to Computer Networks
19,"reliable, reliable data, data transfer, reliable data transfer",13,Network Routing and Switching
20,"important, detail, subtle, subtle important",0,Introduction to Computer Networks
21,"rfid, tag, reader, rfid tag",0,Introduction to Computer Networks
22,"mbps, gbps, mbps link, rate mbps",0,Introduction to Computer Networks
23,"cdn, cdn node, cdns, cluster",0,Introduction to Computer Networks
24,"sip, invite, invite message, registrar",0,Introduction to Computer Networks
25,"header, header line, line, response",0,Introduction to Computer Networks
26,"datagram, datagrams, ipv datagram, datagram host",0,Introduction to Computer Networks
27,"bucket, token, token bucket, leaky",0,Introduction to Computer Networks
28,"ethernet, classic ethernet, ethernet ethernet, classic",8,Ethernet and LAN Technologies
29,"udp, tcp udp, udp tcp, protocol udp",5,TCP/IP Protocol Suite
30,"mpeg, compression, video, audio",0,Introduction to Computer Networks
31,"rfc, rfcs, defined rfc, rfc rfc",19,Software-Defined Networking (SDN)
32,"subnet, subnets, subnet address, mask",0,Introduction to Computer Networks
33,"output port, port, input port, fabric",0,Introduction to Computer Networks
34,"ip address, ip, address, ip addressing",6,IP Addressing and Subnetting
35,"firewall, filter, stateful, packet filter",0,Introduction to Computer Networks
36,"ssl, ssl record, record, tl",0,Introduction to Computer Networks
37,"key, bob, alice, public key",13,Network Routing and Switching
38,"signature, digital signature, signed, digital",0,Introduction to Computer Networks
39,"parity, error, bit error, parity bit",0,Introduction to Computer Networks
40,"web, site, world wide web, wide web",12,VPN (Virtual Private Network)
41,"urity, web urity, url, urity urity",0,Introduction to Computer Networks
42,"multicast, group, multicasting, anycast",0,Introduction to Computer Networks
43,"university, engineering, science, professor",0,Introduction to Computer Networks
