Bucket Number,Bucket
-1,-1_network_packet_time_link
0,0_fiber_cable_twisted_twisted pair
1,1_dns_dns server_domain_query
2,2_mail_mail server_user agent_email
3,3_cipher_ciphertext_block_encryption
4,4_fig_shown fig_fig example_shown
5,5_page_browser_web page_web
6,6_ack_retransmit_duplicate_retransmission
7,7_isps_isp_tier_access isps
8,8_band_ghz_frequency_spectrum
9,9_alice_bob_trudy_message alice
10,10_telephone_telephone network_telephone company_company
11,11_sdn_controller_plane_control plane
12,12_agent_foreign_home agent_mobile node
13,13_copyright_privacy_law_court
14,14_byte_length_header_field
15,15_cache_caching_web cache_cached
16,16_protocol_new protocol_protocol protocol_protocol work
17,17_satellite_earth_communication satellite_orbit
18,18_reliable_reliable data_data transfer_reliable data transfer
19,19_important_detail_subtle_subtle important
20,20_rfid_tag_reader_rfid tag
21,21_mbps_gbps_mbps link_rate mbps
22,22_cdn_cdn node_cdns_cluster
23,23_sip_invite_invite message_registrar
24,24_header_header line_line_response
25,25_datagram_datagrams_ipv datagram_datagram host
26,26_bucket_token_token bucket_leaky
27,27_ethernet_classic ethernet_ethernet ethernet_classic
28,28_udp_tcp udp_udp tcp_protocol udp
29,29_mpeg_compression_video_audio
30,30_rfc_rfcs_defined rfc_rfc rfc
31,31_subnet_subnets_subnet address_mask
32,32_output port_port_input port_fabric
33,33_ip address_ip_address_ip addressing
34,34_firewall_filter_stateful_packet filter
35,35_ssl_ssl record_record_tl
36,36_key_bob_alice_public key
37,37_signature_digital signature_signed_digital
38,38_parity_error_bit error_parity bit
39,39_web_site_world wide web_wide web
40,40_urity_web urity_url_urity urity
41,41_multicast_group_multicasting_anycast
42,42_university_engineering_science_professor
43,43_skype_voice_video_conference
44,44_radio_microwave_interference_antenna
45,45_arp_arp query_arp table_mac address
46,46_congestion_congestion control_control_congestion control algorithm
47,47_congestion window_window_slow start_slow
48,48_data link_data link layer_link layer_frame
49,49_data center_center_data_data center network
50,50_network layer network_layer network layer_layer network_network layer
51,51_fragment_fragmentation_reassembly_fragment fragment
52,52_cdma_cdma code_code division_code division multiple
53,53_playout_video_block_freezing
54,54_html_style_title_sheet
55,55_service_transport_transport service_layer
56,56_successor_node_finger_finger table
57,57_section section_section section section_section_noted section additional
58,58_distance vector_neighbor_vector_distance
59,59_rtp_rtsp_rtcp_rtp packet
60,60_frame_frame length_column_us column
61,61_fdm_multiplexing_division_division multiplexing
62,62_blah_iv blah blah_iv blah_fine iv blah
63,63_technology_industry_growth_innovation
64,64_example figure_figure_figure example figure_figure example
65,65_snr_modulation_noise_ratio
66,66_certificate_ca_revoked_ra
67,67_header_ip header_ipv_ipv header
68,68_wireless_wireless network_wireless link_network wireless
69,69_clock_get sends_sends get sends_sends get
70,70_network network_network network network_network_cw net
71,71_transportlayer segment_transportlayer_segment_transport layer
72,72_window_window size_sliding window_sliding
73,73_ipv_ipv ipv_ipv address_ip version
74,74_bgp_ebgp_ibgp_gateway
75,75_bank_credit_credit card_card
76,76_ospf_routing_routing protocol_linkstate
77,77_lan_lan lan_lan lan lan_lan figure
78,78_mobile_mobile host_mobile ip_mobile node
79,79_application layer_layer application_application layer application_layer application layer
80,80_propagation_propagation delay_delay_propagation speed
81,81_standard_international_standardization_iso
82,82_collision_detect collision_collide_node
83,83_figure figure_figure figure figure_figure_figure let figure
84,84_transport layer_transport layer transport_layer transport_transport
85,85_delay_average_estimate_average delay
86,86_network urity_urity_urity network_urity network urity
87,87_network fig_network shown_graph_network figure
88,88_send packet_packet_packet sends packet_packet sends
89,89_netflix_cdn_video_kankan
90,90_figure shown figure_figure shown_shown figure shown_shown figure
91,91_xor_mod_arithmetic_modulo
92,92_rtt_rtts_congestion window_increase
93,93_rdt_protocol rdt_rdt protocol_rdtsend
94,94_lost_duplicate_lost packet_packet lost
95,95_streaming_medium_stored_video
96,96_bluetooth_bluetooth bluetooth_bluetooth protocol_bluetooth network
97,97_dhcp_dhcp server_dhcp discover_dhcp client
98,98_mpls_mpls header_mpls network_ip packet
99,99_bittorrent_torrent_peer_tracker
100,100_nonpersistent_persistent_persistent connection_parallel
101,101_vlan_vlans_vlan aware_switch
102,102_flag_flag byte_stuffing_byte
103,103_ap_aps_wireless device_beacon
104,104_wfq_priority_robin_round robin
105,105_year_tom_tenure_government
106,106_flow_bandwidth_fairness_max min
107,107_al_et al_et_clark
108,108_algorithm_nagle_converge_offered reward break
109,109_ipsec_ipsec datagram_datagram_esp
110,110_hamming_code_convolutional_reed
111,111_port_port number_port reserved_number
112,112_cookie_amazon_susans_cookie header
113,113_solution_problem_solve_problem problem
114,114_nat_nat box_box_translation
115,115_voip_voice ip_voice_voip application
116,116_address_address space_address address_space
117,117_virtual circuit_virtual_circuit_virtual circuit network
118,118_segment_lost segment_segment arrive_suppose segment
119,119_sequence number_sequence_bit sequence number_number
120,120_bandwidth_network bandwidth_bandwidth efficiently_higher class
121,121_queuing delay_queuing_delay_queueing
122,122_alice isp_alice_isp_bob
123,123_service_class service_besteffort_class
124,124_checksum_sum_complement_internet checksum
125,125_rsa_rsa algorithm_algorithm_public key
126,126_faster_efficiency_performance_improve performance
127,127_csma_csma cd_cd_collision
128,128_source port_port_port number_source port number
129,129_physical layer_physical_layer physical layer_layer physical
130,130_router_router router_natenabled_natenabled router
131,131_access control sublayer_control sublayer_medium access control_medium access
132,132_congestion control_tcp congestion control_congestion_tcp congestion
133,133_quantization_sample_quantized_dct
134,134_data link_data link layer_link layer data_link layer
135,135_sequence number_initial sequence number_initial sequence_sequence
136,136_wireless lan_lan_wireless_ieee
137,137_http_http protocol_hypertext transfer protocol_hypertext transfer
138,138_flow table_flow table entry_table_flow
139,139_stack_protocol stack_protocol_layer protocol stack
140,140_acknowledgement_acknowledgement frame_frame_frame received
141,141_routing algorithm_routing_algorithm_way classify routing
142,142_urity_encryption_encrypted_encrypt
143,143_jitter_called jitter_network jitter_delay jitter
144,144_base station_base_station_cell
145,145_php_javascript_script_cgi
146,146_prefix_longest_matching_longest prefix
147,147_step_figure step_shown step_step step
148,148_hub_hub switch_switch_switch hub
149,149_buffer_buffer size_buffering_buffer management
150,150_authentication server_authentication_ap_wireless client
151,151_release_released_connection_connection released
152,152_applet_activex_java_activex control
153,153_telnet_telnet session_telnet connection_gateway
154,154_cellular_cellular network_lte_network architecture
155,155_ieee_acm_standard ieee_ieee ieee
156,156_icmp_icmp message_ping_echo
157,157_arpanet_arpa_robert_research
158,158_sender_sends message_sends message sends_message sends message
159,159_qos_guarantee_qos guarantee_flow
